ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
O00519,FAAH,19791.66016,,,,9892.571289,20925.89844,,,,,,13758.64453,,,
O00541,PES1,14744.42401,28820.01732,14194.94047,13375.97745,31311.26524,59318.39306,8098.664654,,5304.554247,43261.20211,50578.9352,63673.85983,34878.32612,39182.15807,58819.09968
O00566,MPHOSPH10,7013.365319,15174.93576,5556.446781,4293.031434,13644.31198,24557.91786,,,2035.361617,33979.93402,21837.07182,41131.13952,19020.78322,19448.31169,30346.45403
O00567,NOP56,14389.79313,33283.90237,17047.84126,12404.31834,24477.55279,48975.97372,2706.007049,,3794.680395,40008.96314,52066.04665,70991.13069,29769.19708,35424.8457,60564.10191
O00571,DDX3X,35426.24863,70661.29129,44618.0179,32638.11579,57147.40174,56670.8101,11710.90711,3375.194545,12532.85056,63575.5639,72524.50785,67307.30363,46413.27614,49750.11347,66407.11654
O00622,CCN1,4925.278267,10404.57012,5663.925287,5228.673397,3860.842858,8901.519531,,,,6986.538945,30974.07031,17402.1559,3879.148228,11352.58346,14515.89091
O00625,PIR,75289.21094,94705.67969,63451.21094,,67085.75,122697.3359,,,,87469.02344,55318.79688,85218.14062,79145.24219,79848.64844,86884.32812
O00712,NFIB,9827.64508,30077.51694,10964.09441,8993.552042,25434.64547,37156.89916,,,4403.849394,27680.34504,21134.97384,31042.37956,24439.67462,29204.00048,43181.2811
O00746,NME4,3034.323551,,,7911.4745,14360.74035,21942.70898,4263.654083,,2608.831275,17326.88338,21236.69294,14678.92913,10529.11044,12574.8349,12617.58772
O00767,SCD,27473.44075,38899.17396,13687.10849,6875.844936,12012.29374,8536.535935,,,,12552.37688,14646.95889,16355.33133,7158.944971,7626.05679,21676.88478
O14497,ARID1A,6991.544315,27442.32036,9513.33943,10855.99008,22372.33989,17825.42417,3487.836799,,3927.100882,25640.44128,24325.93265,23190.38266,19588.10213,21103.3121,29655.99994
O14524,NEMP1,,4445.13916,3775.794189,4262.966797,,,,,,6935.523438,17209.51562,14151.57812,7398.534668,6472.817871,7786.419434
O14544,SOCS6,124734.5938,127928.6094,124410.3281,106309.5078,112951.9844,104600.2812,106159.4453,105686.8203,89553.04688,103142.4062,99596.57812,143935.9219,110470.8828,110588.9688,96549.5625
O14556,GAPDHS,60404.01562,46152.26172,38031.45312,41230.45703,32544.20312,39276.88281,,,,39159.36719,36459.79688,53014.08203,26681.73633,18404.62109,30096.73633
O14578,CIT,10356.88867,12245.89569,9754.144166,3915.660597,16830.41211,18165.81641,,,,10227.84049,10942.97983,,8637.597656,4330.183692,2667.908877
O14639,ABLIM1,5360.989994,13578.59878,10718.40523,,12709.23942,7664.840359,,,,13831.69938,7408.154752,7539.547209,5593.437983,5233.488851,8617.552755
O14646,CHD1,,5131.836061,,5317.111382,7365.70079,6426.968042,,,,2978.492279,5590.318245,9981.422758,8329.915645,8870.758748,10750.8355
O14647,CHD2,8693.671831,23267.91961,11674.91309,7754.438691,14898.22559,15933.48682,1804.14761,,,21133.1249,25748.60158,26430.24219,14979.92957,11127.95523,22868.82837
O14678,ABCD4,,28255.79297,,,27105.53906,36366.17969,22202.125,,24269.28516,32566.93945,43694.69531,,29594.54297,22022.64453,28421.50781
O14681,EI24,,42627.27344,28049.7168,,23804.45312,24563.70117,,,,45905.14453,50032.23438,47760.42578,28961.91406,23055.03516,39390.64844
O14683,TP53I11,,9439.845703,4059.611816,,6760.654785,3782.491211,,,,,14315.61133,5929.426758,5714.032715,9998.504883,12234.11621
O14686,KMT2D,2715.716269,3156.124472,,,10722.90114,,,,,5064.054711,,5187.859159,6169.662499,,4723.531877
O14735,CDIPT,,,,,,,,,,3589.768066,,1212.300537,,,
O14757,CHEK1,12325.33083,78717.84797,18175.15981,,32473.15914,31551.49731,,,,13180.67502,16012.90935,17006.86232,34798.20117,12964.06956,17489.05067
O14776,TCERG1,27698.41224,48676.20986,22101.19091,19022.69508,47241.70788,47592.97433,6400.625598,,3505.362317,47194.96289,48331.88327,49989.20768,38452.15729,37089.27747,53856.72345
O14777,NDC80,17786.22115,36587.47871,20229.22384,33234.59396,50890.27655,50376.53315,5221.654319,,4776.028331,14899.69726,12579.18503,19586.00462,18463.94294,19401.00873,28402.16831
O14791,APOL1,,5918.243164,,3207.281006,,,,,,,,,,,
O14818,PSMA7,46107.70312,17078.17754,34371.00391,26516.14892,53526.05933,92451.6875,23611.56514,11868.99838,12629.49414,26472.73237,34849.11328,19841.47207,39744.19531,17021.21168,15824.29703
O14867,BACH1,,20212.95508,12763.29297,,,,,,,,15103.89844,,,,
O14874,BCKDK,,4009.177323,,,8327.030756,6472.528562,3942.256241,,,14337.83222,6347.863548,9559.455384,11351.99171,6349.570514,14036.86488
O14880,MGST3,25519.3066,60334.70459,16647.16472,,32770.77338,34030.45623,14564.35855,,,52998.15899,30016.12863,63065.40763,,,20507.69258
O14908,GIPC1,,8599.478609,15291.60727,,8401.495025,9772.574246,,,,11883.36132,8603.777627,4203.653628,,4307.358341,11439.46037
O14917,PCDH17,73346.82031,92475.04688,63397.45312,47993.29297,48041.99219,83699.64062,103873.5156,67909.98438,,72424.03125,58865.41406,71034.83594,90550.70312,75820.27344,50305.11719
O14924,RGS12,19594.96875,22112.73828,29263.82812,21068.54492,21501.08594,17673.5957,,,,28714.38867,21838.32031,21713.42969,25342.65039,25003.02344,15002.38379
O14936,CASK,,,,,2847.107666,,,,,2703.408203,,,,,
O14939,PLD2,22458.07617,,35166.63672,,61214.88672,39971.72266,,11761.12109,,90326.71094,97157.27344,96537.53906,72934.08594,58542.99219,131580.3125
O14948,TFEC,36815.57422,31191.13086,41206.60156,35711.53906,41930.31641,43970.76562,51752.57812,31694.2832,43831.93359,41994.42969,45071.17969,33407.75391,32315.34961,35767.33984,31727.08984
O14965,AURKA,6933.257795,23553.61581,9751.687652,3475.010788,13978.53483,16058.46188,,,,14215.4102,7956.589495,13146.11178,11874.63116,7117.554761,20332.31282
O14974,PPP1R12A,,2416.975098,2047.049194,3695.892822,6431.683105,4511.714844,,,,2656.441406,1128.373047,3177.841309,,3949.185547,3611.691895
O14979,HNRNPDL,33714.20102,51760.20946,29510.25033,19849.15127,45369.23022,49273.40652,5684.573076,1290.812553,5244.69775,63058.42794,67225.62168,68430.18221,49946.6386,46218.20897,67371.09717
O14980,XPO1,2853.299663,6933.192434,3548.252328,2088.627808,11500.91706,6006.339462,,,,8495.831699,10210.24523,11467.95362,11224.18549,8697.743728,12106.33884
O15014,ZNF609,4656.757195,6950.486187,5016.091759,8268.108944,13893.81213,15148.86396,,,1160.631005,12992.84548,14427.73297,14294.46104,14699.83598,14282.13612,24828.71185
O15016,TRIM66,632222.75,588158.75,578593.375,,462310.5,504156.1875,,522728.1875,534167.75,446875.375,537974.5,512453.4375,,,
O15040,TECPR2,39552.38672,63483.25781,,,61422.35938,78193.96875,,,,159398.2969,146955.375,,96640.375,73024.875,64954.19531
O15042,U2SURP,10035.7478,28309.64605,15293.14652,12887.76999,21327.63333,23089.31971,3394.1387,,,43781.99556,45642.40083,60228.861,27655.13956,23021.88901,37991.91868
O15047,SETD1A,5015.311727,5068.628418,,2111.909753,11567.09961,8097.336914,2387.232443,,,11017.96582,6204.583008,8549.868164,2175.998093,2759.468331,5376.23584
